Number;neighbourhood_group;neighbourhood;latitude;longitude
46;Sants-Montjuic;la Bordeta;41.37089444027462;2.132228492233364
46;Sants-Montjuic;la Bordeta;41.369078752615366;2.1377959468952543
46;Sants-Montjuic;la Bordeta;41.36581736448991;2.1363170632482733
46;Sants-Montjuic;la Bordeta;41.37044894517349;2.138511454050269
46;Sants-Montjuic;la Bordeta;41.366896221577626;2.1329829700363967
46;Sants-Montjuic;la Bordeta;41.36942414799067;2.1408733806551896
46;Sants-Montjuic;la Bordeta;41.37221541663106;2.1412737588178405
46;Sants-Montjuic;la Bordeta;41.36811050143077;2.134167627572252
46;Sants-Montjuic;la Bordeta;41.37018777981416;2.1375001819283552
46;Sants-Montjuic;la Bordeta;41.37107206445168;2.1364106568369765
46;Sants-Montjuic;la Bordeta;41.36952788625166;2.133593828765734
46;Sants-Montjuic;la Bordeta;41.36781109358985;2.1333610132093006
46;Sants-Montjuic;la Bordeta;41.37086605293886;2.132311378587278
46;Sants-Montjuic;la Bordeta;41.370919481153095;2.1378626690293663
46;Sants-Montjuic;la Bordeta;41.367874461970096;2.132212592135882
46;Sants-Montjuic;la Bordeta;41.369435461257154;2.140006081306717
46;Sants-Montjuic;la Bordeta;41.37246086197762;2.138521226619437
46;Sants-Montjuic;la Bordeta;41.36562865265632;2.133074589555092
46;Sants-Montjuic;la Bordeta;41.369086442910344;2.1317733059802744
46;Sants-Montjuic;la Bordeta;41.36886305972974;2.1391313432468126
46;Sants-Montjuic;la Bordeta;41.36358934453827;2.133912070522403
46;Sants-Montjuic;la Bordeta;41.3699210358877;2.1359131874963975
46;Sants-Montjuic;la Bordeta;41.36978583059728;2.1410336587920407
46;Sants-Montjuic;la Bordeta;41.36745631989702;2.1352407089706067
46;Sants-Montjuic;la Bordeta;41.36757230137606;2.135215057858207
46;Sants-Montjuic;la Bordeta;41.37217603587271;2.1405285992562666
46;Sants-Montjuic;la Bordeta;41.37044799757771;2.1352311927526273
46;Sants-Montjuic;la Bordeta;41.370885940442946;2.1338122586357486
46;Sants-Montjuic;la Bordeta;41.36937529950367;2.1404080216402437
46;Sants-Montjuic;la Bordeta;41.369435202473;2.132776373028584
46;Sants-Montjuic;la Bordeta;41.371030215423204;2.1421745859003196
